titre,prix,ville,url
A vendre appartement S+2 au 1 er étage,433000DT,Sousse,https://www.tayara.tn/item/67daae99fd1c6385be38a41f/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_appartement_S2_au_1_er_tage_/
A vendre un appartement s+3 au 1 er etage,481000DT,Sousse,https://www.tayara.tn/item/67daa775ca3467b14e682798/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_s3_au_1_er_etage/
Vente Scoda Scala,70000DT,Ariana,https://www.tayara.tn/item/6800fa71fd1c6385be51c716/Voitures/Ariana/Cit_Ennasr_2/Vente_Scoda_Scala/
A vendre un appartement S+1 au 1 er étage,286000DT,Sousse,https://www.tayara.tn/item/67d42105ca3467b14e642bb1/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_1_er_tage/
A vendre un appartement S+1 au 2éme étage,292000DT,Sousse,https://www.tayara.tn/item/67d7cffffd1c6385be36e075/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_2me_tage/
A vendre un appartement S+2 au 2éme étage,527000DT,Sousse,https://www.tayara.tn/item/67d41a49ca3467b14e642312/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_2me_tage/
A vendre un appartement S+2 au 2éme étage,439000DT,Sousse,https://www.tayara.tn/item/67d414d8ca3467b14e641a50/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_2me_tage/
A vendre un appartement S+1 au RDC,324000DT,Sousse,https://www.tayara.tn/item/67d42962ca3467b14e64376e/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_RDC/
A vendre un appartement S+2 au 1 er étage,401000DT,Sousse,https://www.tayara.tn/item/67d7cee7ca3467b14e66692b/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_1_er_tage/
A vendre un appartement S+2 au RDC,466000DT,Sousse,https://www.tayara.tn/item/67d42010ca3467b14e642a9d/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_RDC/
A vendre un appartement S+2 au 1 er étage,429000DT,Sousse,https://www.tayara.tn/item/67d2e51ec68ce6b5539d2afa/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_1_er_tage/
A LOUER S+3 A L Aouina,1250DT,Tunis,https://www.tayara.tn/item/6800dd1cfd1c6385be51aa4f/Appartements/Tunis/L_Aouina/A_LOUER_S3_A_L_Aouina_/
A vendre un appartement S+1 au RDC,350000DT,Nabeul,https://www.tayara.tn/item/67cae4fb119f0ab09bd1b92d/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S1_au_RDC/
A vendre un appartement S+3 au 4éme étage,515000DT,Nabeul,https://www.tayara.tn/item/67caf42393928ac5bc188cdb/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S3_au_4me_tage/
